episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
159,1300.0,755,105638,0.1,0.07870632814115318,922.511176540982,True,False
160,450.0,445,106083,0.1,0.08063602848565793,926.3001711660181,True,False
161,1360.0,1019,107102,0.1,0.0848055438887255,935.65274679102,True,False
162,1260.0,905,108007,0.1,0.08136367166530242,943.33443579101,True,False
163,1410.0,775,108782,0.1,0.09012936502599071,950.2028413750231,True,False
164,530.0,493,109275,0.1,0.09096380288341666,954.4968104580184,True,False
165,570.0,498,109773,0.1,0.07803172442317009,959.041597708012,True,False
166,450.0,490,110263,0.1,0.07757411071206213,963.3638387499959,True,False
167,680.0,638,110901,0.1,0.08169252347433939,969.0288340410334,True,False
168,690.0,535,111436,0.1,0.09027936864199478,973.7177027080324,True,False
169,480.0,569,112005,0.1,0.08352068757218584,978.5001433750149,True,False
170,420.0,461,112466,0.1,0.08128706053223299,982.558870000008,True,False
171,380.0,415,112881,0.1,0.0854744182433933,986.1728417910053,True,False
172,830.0,667,113548,0.1,0.10762412037455037,991.9240115830326,True,False
173,1420.0,799,114347,0.1,0.09840937595271584,998.6768594580353,True,False
174,400.0,465,114812,0.1,0.09311038839957143,1002.6466517079971,True,False
175,470.0,439,115251,0.1,0.0834896090961651,1006.2440796660376,True,False
176,1230.0,762,116013,0.1,0.07633137384049243,1015.7846825830056,True,False
177,400.0,495,116508,0.1,0.10311930142943898,1019.8182608750067,True,False
178,470.0,502,117010,0.1,0.08372285912930966,1024.1425589160062,True,False
179,1600.0,799,117809,0.1,0.0911783334519714,1031.0797230830067,True,False
180,860.0,762,118571,0.1,0.08716190874968704,1037.9187720830087,True,False
181,1070.0,872,119443,0.1,0.1069408868559115,1045.1436552910018,True,False
182,720.0,464,119907,0.1,0.10491020911662229,1048.9560493750032,True,False
183,520.0,433,120340,0.1,0.10528264010171277,1052.6893510409864,True,False
184,570.0,544,120884,0.1,0.08825413840275038,1057.3716670830036,True,False
185,1390.0,992,121876,0.1,0.09400403540911934,1065.4918819160084,True,False
186,380.0,404,122280,0.1,0.09118662633481298,1069.1018799580052,True,False
187,310.0,337,122617,0.1,0.09282020670140073,1072.0693948330008,True,False
188,750.0,656,123273,0.1,0.09392424712593599,1077.7346405410208,True,False
189,1170.0,983,124256,0.1,0.10071894601441739,1086.6394967910019,True,False
190,440.0,399,124655,0.1,0.10312463083502019,1089.8798545000027,True,False
191,590.0,592,125247,0.1,0.09840706840308534,1094.9689213749953,True,False
192,380.0,407,125654,0.1,0.0906434564979053,1098.3383485410013,True,False
193,610.0,558,126212,0.1,0.09634390217917306,1103.1750494160224,True,False
194,980.0,660,126872,0.1,0.10002768784761429,1108.9846407910227,True,False
195,500.0,451,127323,0.1,0.09273937662198607,1112.8485430410365,True,False
196,510.0,547,127870,0.1,0.09594999469925453,1117.5735757499933,True,False
197,590.0,602,128472,0.1,0.0972802315080008,1122.7802696659928,True,False
198,420.0,414,128886,0.1,0.1015643979992392,1126.4011992909946,True,False
